iter	Logloss
0	0.6845734245
1	0.6740239796
2	0.6665356285
3	0.6565201408
4	0.648472535
5	0.641122818
6	0.6336014898
7	0.624749284
8	0.6176550012
9	0.6113042831
10	0.6043384954
11	0.5969034496
12	0.5903778076
13	0.5829148544
14	0.5754188738
15	0.5692830337
16	0.5629569606
17	0.5588087283
18	0.5521312011
19	0.5451099998
20	0.5386756094
21	0.5333937595
22	0.5295596876
23	0.5241495936
24	0.5181678973
25	0.5131617094
26	0.5094177848
27	0.504044583
28	0.4993387523
29	0.4944811369
30	0.4883044393
31	0.4830282111
32	0.4772157669
33	0.4729376843
34	0.4675031461
35	0.46271023
36	0.458521592
37	0.4544547734
38	0.4493750522
39	0.4449569803
40	0.4410941977
41	0.437144681
42	0.4332441029
43	0.4292799297
44	0.4256601836
45	0.4221350519
46	0.4182707134
47	0.4147503
48	0.411407797
49	0.4077680487
50	0.4045274383
51	0.400842516
52	0.3972452565
53	0.3939821344
54	0.3908326249
55	0.3874890679
56	0.3842270249
57	0.3813193974
58	0.3783002151
59	0.3753805662
60	0.373734675
61	0.3707396357
62	0.3678740953
63	0.3652266954
64	0.3624846559
65	0.3599589749
66	0.3575060744
67	0.3551907288
68	0.3537190086
69	0.3514814126
70	0.3490402573
71	0.3466877184
72	0.3453464006
73	0.3432663114
74	0.340784374
75	0.3387052887
76	0.3362491507
77	0.3339447222
78	0.3329554608
79	0.3311022708
80	0.3289515847
81	0.327259917
82	0.3254236171
83	0.323428681
84	0.3214260152
85	0.3196606385
86	0.3176076538
87	0.3156534998
88	0.3139863265
89	0.3128664619
90	0.3119223996
91	0.309832071
92	0.308563383
93	0.3067242974
94	0.3049945329
95	0.3033661089
96	0.3017798976
97	0.299897746
98	0.2983503091
99	0.2968115556
100	0.2952879856
101	0.2936635268
102	0.2919075113
103	0.2904569726
104	0.2892259046
105	0.2878597661
106	0.2866136149
107	0.2853719059
108	0.2846099703
109	0.2838475077
110	0.2825690822
111	0.2815280965
112	0.2801554329
113	0.2788256595
114	0.2779207983
115	0.2770124737
116	0.2755477805
117	0.274109489
118	0.2730239818
119	0.2723133689
120	0.2709357613
121	0.2701344741
122	0.2691557031
123	0.2682258706
124	0.2672238099
125	0.2664011403
126	0.2653699925
127	0.2647728418
128	0.2637790881
129	0.2626807815
130	0.2622223904
131	0.2611361554
132	0.2607335542
133	0.2598664384
134	0.2586729401
135	0.2582948584
136	0.2579529411
137	0.2576632249
138	0.2571077598
139	0.2567574099
140	0.2557911873
141	0.2552858654
142	0.254812592
143	0.2537192294
144	0.2534907241
145	0.2530288947
146	0.2524088809
147	0.2521011202
148	0.2512783251
149	0.2508295963
150	0.2498289158
151	0.2494304557
152	0.2489801206
153	0.2480021527
154	0.2469807926
155	0.2460758812
156	0.245169489
157	0.2443016956
158	0.2435504512
159	0.242861045
160	0.2421834343
161	0.2418548684
162	0.2415918802
163	0.2412715711
164	0.2409228777
165	0.2401907569
166	0.2393076043
167	0.2388340047
168	0.2386800615
169	0.2384564751
170	0.2377749995
171	0.2374685187
172	0.2368292056
173	0.2361772939
174	0.2360406675
175	0.2356353057
176	0.235401254
177	0.2351557581
178	0.2345277385
179	0.2339476535
180	0.2337537314
181	0.2333908583
182	0.2326758033
183	0.2322950614
184	0.2319547754
185	0.2317398975
186	0.2311245768
187	0.2307494314
188	0.2305929033
189	0.230252015
190	0.2301388038
191	0.2297835601
192	0.2291486138
193	0.228896643
194	0.2285792702
195	0.2284202074
196	0.2281014543
197	0.2279561193
198	0.2275525143
199	0.2269792557
200	0.2267988356
201	0.2267054006
202	0.2265020923
203	0.226272332
204	0.2260473653
205	0.2259088566
206	0.2256940791
207	0.225527412
208	0.2253442814
209	0.2250793608
210	0.2245772763
211	0.2243120796
212	0.2240256008
213	0.2234385139
214	0.2231578325
215	0.2227121403
216	0.2224912141
217	0.2221035455
218	0.221950004
219	0.2217939025
220	0.22163622
221	0.2211528577
222	0.2209801423
223	0.2208037376
224	0.2206284623
225	0.2203600532
226	0.2202456123
227	0.220043082
228	0.2198425845
229	0.219659981
230	0.2195302562
231	0.2193879077
232	0.2191071259
233	0.2189086613
234	0.2187573282
235	0.2185311317
236	0.2182915085
237	0.2180988914
238	0.2179168651
239	0.2173996223
240	0.2171314641
241	0.2170086911
242	0.2166630594
243	0.2163618238
244	0.2161834616
245	0.2160381016
246	0.2159041856
247	0.2155422913
248	0.2152773205
249	0.215179343
250	0.2150044692
251	0.2149248625
252	0.2147621356
253	0.2144379365
254	0.2142817096
255	0.2141533902
256	0.2140631425
257	0.2139256879
258	0.2138486159
259	0.2136374775
260	0.2134515361
261	0.2132440115
262	0.2130488847
263	0.2128740612
264	0.2124885258
265	0.2124090697
266	0.212281729
267	0.2121539869
268	0.2120323181
269	0.2119716343
270	0.2118484597
271	0.2117025476
272	0.2116045199
273	0.2112178802
274	0.2110928987
275	0.2108582446
276	0.2107425991
277	0.2105370572
278	0.2102572291
279	0.2101403914
280	0.2099784173
281	0.2098961002
282	0.2098139964
283	0.209716822
284	0.2094551388
285	0.2093552163
286	0.2091890887
287	0.2091161326
288	0.2089518873
289	0.2088504089
290	0.2086943074
291	0.2085053544
292	0.2084137891
293	0.2082569223
294	0.2081527961
295	0.208025079
296	0.207899972
297	0.2077295906
298	0.2076397193
299	0.20746664
300	0.2072408074
301	0.206805179
302	0.2065867374
303	0.2064743293
304	0.2063756491
305	0.2062742836
306	0.2061634942
307	0.2061002129
308	0.2060003908
309	0.2058463599
310	0.2057376912
311	0.2056308797
312	0.2054640745
313	0.2052470634
314	0.2050799445
315	0.2049558916
316	0.2048452026
317	0.2047402733
318	0.2046208633
319	0.2045200122
320	0.2043988077
321	0.2041962147
322	0.2039951902
323	0.2038625416
324	0.2037930489
325	0.2036417409
326	0.203471234
327	0.2033935974
328	0.2032621534
329	0.2031946057
330	0.2029817355
331	0.2028472925
332	0.2026968253
333	0.202572672
334	0.2024263959
335	0.202093802
336	0.2019718321
337	0.2018302114
338	0.2017467398
339	0.2015911403
340	0.2014859099
341	0.2013379147
342	0.2012243271
343	0.2011381199
344	0.2010052079
345	0.2008682678
346	0.2007361462
347	0.2006268376
348	0.2004678375
349	0.2003803379
350	0.2002325811
351	0.2001393469
352	0.2000127466
353	0.1998465061
354	0.1996889365
355	0.1995825768
356	0.1994120196
357	0.1990206995
358	0.1988682747
359	0.1987961342
360	0.1987126501
361	0.1986228792
362	0.1984495113
363	0.1983501786
364	0.1982346836
365	0.1977799441
366	0.1976997727
367	0.1976086842
368	0.1974738021
369	0.1973811576
370	0.1972412812
371	0.1971523636
372	0.1970644123
373	0.1969751935
374	0.1968514166
375	0.196751444
376	0.1966053059
377	0.1965316973
378	0.1964639112
379	0.1963000799
380	0.1961808456
381	0.1960716749
382	0.1959127125
383	0.1958469843
384	0.1957868526
385	0.1957020383
386	0.1955254705
387	0.1954272421
388	0.1953241574
389	0.1952037686
390	0.1950878093
391	0.1947310347
392	0.1945799275
393	0.1945075863
394	0.1942971757
395	0.1941751806
396	0.1938675077
397	0.1937634317
398	0.1936387514
399	0.1935431832
400	0.193418804
401	0.1933345418
402	0.1932194233
403	0.1930657437
404	0.192961103
405	0.1928330723
406	0.1927440166
407	0.1926051692
408	0.192467815
409	0.1922369129
410	0.1921516469
411	0.1920964592
412	0.1919975281
413	0.1918356921
414	0.1917107984
415	0.1916145525
416	0.1914015067
417	0.1912874674
418	0.1911292704
419	0.1910578577
420	0.191008229
421	0.1908522656
422	0.1907568982
423	0.1906654082
424	0.1905761518
425	0.1904932825
426	0.1904334771
427	0.1903661803
428	0.1900861389
429	0.1899166609
430	0.1898068378
431	0.1896970899
432	0.1895463341
433	0.1894809447
434	0.1893734305
435	0.1893078402
436	0.1892227123
437	0.1891165909
438	0.1890242978
439	0.1889197826
440	0.1888056554
441	0.1886964095
442	0.1885559433
443	0.1884487303
444	0.1883128066
445	0.1882222452
446	0.1881167261
447	0.1879655938
448	0.1878830508
449	0.1877719227
450	0.1876907098
451	0.1875180947
452	0.1874095515
453	0.1872350542
454	0.1871526116
455	0.1870432402
456	0.1869667078
457	0.1868483644
458	0.18675508
459	0.1866605658
460	0.1865213043
461	0.1863502452
462	0.1862555178
463	0.1860891894
464	0.1860123685
465	0.1859221333
466	0.1857864229
467	0.1857020729
468	0.1856215502
469	0.1855381664
470	0.1854303762
471	0.1853389991
472	0.1852340824
473	0.1851551407
474	0.1849815595
475	0.1849358207
476	0.1847704335
477	0.1847035257
478	0.1845458181
479	0.1845016479
480	0.1843895159
481	0.1841272806
482	0.1840613265
483	0.1840008434
484	0.1839143101
485	0.183834214
486	0.1837545696
487	0.1836857419
488	0.1836081555
489	0.1834881557
490	0.1833636886
491	0.1833083755
492	0.1832393094
493	0.1832012879
494	0.1831204766
495	0.1829929854
496	0.1828861739
497	0.1827570639
498	0.1826680083
499	0.1825505056
